card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,birth_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,birth_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC: Silva vs Irvin,Johnny Rees,0.33,3.0,0.0,0.0,Nate Loughran,0.46,15.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Middleweight,0.0,SUB,2008.0,2.17,1.69,185.42,75.0,Orthodox,0.45,0.53,0.9,0.5,0.9,0.2,170,1980,16,7,0,0,10.27,1.98,182.88,71.0,Orthodox,0.21,0.45,0.0,0.0,0.0,0.0,170,1982,17,6,0,0,28.0,26.0
UFC: Silva vs Irvin,James Giboo,0.6,87.0,0.0,0.0,Brad Blackburn,0.27,33.0,6.0,0.0,"Las Vegas, Nevada, USA",3.0,2.0,Welterweight,0.0,KO/TKO,2008.0,0.84,3.29,182.88,74.0,Orthodox,0.64,0.47,0.0,0.25,1.15,0.5,170,1982,13,5,0,1,4.11,1.81,187.96,75.0,Orthodox,0.4,0.59,2.1,0.0,0.0,0.0,185,1980,11,2,0,0,26.0,28.0
UFC: Silva vs Irvin,Hermes Franca,0.61,112.0,11.0,10.0,Frankie Edgar,0.47,38.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,0.0,U-DEC,2008.0,7.08,1.2,180.34,73.0,Orthodox,0.27,0.39,0.0,0.0,0.0,0.0,170,1978,13,5,0,0,3.59,4.55,177.8,73.0,Orthodox,0.35,0.65,0.7,0.5,0.93,0.76,170,1977,18,13,1,1,30.0,31.0
UFC: Silva vs Irvin,Kevin Burns,0.44,83.0,1.0,0.0,Anthony Johnson,0.52,98.0,6.0,5.0,"Las Vegas, Nevada, USA",3.0,3.0,Welterweight,1.0,KO/TKO,2008.0,2.85,1.78,167.64000000000001,71.0,Orthodox,0.39,0.55,2.4,0.36,1.53,0.37,155,1974,24,17,0,1,2.82,3.77,167.64000000000001,68.0,Orthodox,0.4,0.65,0.3,0.31,2.29,0.65,135,1981,23,11,1,0,34.0,27.0
UFC: Silva vs Irvin,Tim Credeur,0.27,68.0,0.0,0.0,Cale Yarbrough,0.27,22.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Middleweight,1.0,KO/TKO,2008.0,4.3,2.74,177.8,74.0,Orthodox,0.38,0.52,0.8,0.5,0.28,0.47,170,1980,12,7,0,0,1.83,3.25,187.96,78.0,Orthodox,0.47,0.6,0.6,0.57,2.43,0.77,205,1984,22,6,0,0,28.0,24.0
UFC: Silva vs Irvin,Jesse Taylor,0.57,7.0,1.0,0.0,CB Dollaway,0.3,13.0,3.0,1.0,"Las Vegas, Nevada, USA",3.0,1.0,Middleweight,0.0,SUB,2008.0,3.13,3.59,190.5,75.0,Orthodox,0.3,0.57,3.3,1.0,0.41,0.5,185,1977,12,4,0,0,10.0,3.16,185.42,75.0,Orthodox,0.27,0.72,0.0,0.0,0.0,0.0,185,1986,8,3,0,0,31.0,22.0
UFC: Silva vs Irvin,Cain Velasquez,0.92,26.0,1.0,1.0,Jake O'Brien,1.0,1.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Heavyweight,1.0,KO/TKO,2008.0,0.55,1.94,182.88,73.0,Orthodox,0.65,0.38,3.1,0.5,7.28,1.0,170,1983,31,15,0,0,2.58,2.65,187.96,76.0,Orthodox,0.47,0.54,1.2,0.54,3.55,0.62,185,1983,17,9,0,0,25.0,25.0
UFC: Silva vs Irvin,Reese Andy,0.51,74.0,4.0,2.0,Brandon Vera,0.56,53.0,5.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Light Heavyweight,0.0,U-DEC,2008.0,2.33,6.37,185.42,77.0,Orthodox,0.57,0.57,0.4,0.45,5.13,0.85,240,1982,14,3,0,0,1.92,1.31,190.5,76.0,Orthodox,0.31,0.69,0.2,0.54,6.39,0.25,205,1984,15,4,0,0,26.0,24.0
UFC: Silva vs Irvin,James Irvin,1.0,13.0,0.0,0.0,Anderson Silva,0.0,3.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Light Heavyweight,0.0,KO/TKO,2008.0,3.5,2.87,182.88,74.0,Orthodox,0.5,0.58,0.0,0.2,0.67,0.4,205,1973,7,3,0,0,2.81,3.03,190.5,78.0,Orthodox,0.56,0.52,0.2,0.53,0.7,0.59,230,1977,15,7,0,1,35.0,31.0
UFC 84: Ill Will,Jason Tan,0.83,92.0,3.0,3.0,Dong Hyun Kim,0.14,14.0,6.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Welterweight,0.0,KO/TKO,2008.0,3.86,2.03,187.96,75.0,Orthodox,0.48,0.35,0.5,0.0,0.0,0.36,205,1978,17,10,0,2,2.05,3.05,187.96,77.0,Southpaw,0.61,0.6,0.8,0.77,0.5,0.69,185,1975,34,11,0,1,30.0,33.0
UFC 84: Ill Will,Shane Carwin,0.35,14.0,0.0,0.0,Christian Wellisch,0.18,11.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Heavyweight,1.0,KO/TKO,2008.0,7.37,0.69,177.8,72.0,Orthodox,0.29,0.18,0.0,0.0,0.0,0.0,170,1981,5,3,0,0,1.89,2.12,187.96,76.0,Southpaw,0.49,0.58,0.6,0.43,2.93,0.71,170,1981,22,4,1,1,27.0,27.0
UFC 84: Ill Will,Yoshiyuki Yoshida,0.33,3.0,1.0,1.0,War Machine,0.5,2.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Welterweight,1.0,SUB,2008.0,3.53,4.38,187.96,80.0,Orthodox,0.47,0.53,0.0,0.33,1.42,0.42,265,1975,12,2,0,0,3.04,3.12,187.96,77.0,Orthodox,0.27,0.56,1.2,0.42,1.22,0.45,234,1975,8,5,0,0,33.0,33.0
UFC 84: Ill Will,Rich Clementi,0.42,47.0,8.0,4.0,Terry Etim,0.37,61.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,3.0,Lightweight,1.0,U-DEC,2008.0,3.67,0.85,180.34,70.0,Southpaw,0.36,0.36,2.8,0.28,1.41,0.25,170,1974,18,9,0,0,3.17,2.32,180.34,73.0,Orthodox,0.6,0.43,0.0,0.5,1.16,0.4,170,1981,14,5,0,0,34.0,27.0
UFC 84: Ill Will,Antonio Mendes,0.82,23.0,0.0,0.0,Thiago Silva,0.41,12.0,2.0,1.0,"Las Vegas, Nevada, USA",3.0,1.0,Light Heavyweight,0.0,KO/TKO,2008.0,2.29,1.43,175.26,72.0,Southpaw,0.37,0.6,1.1,0.42,1.72,0.25,155,1976,45,23,1,0,2.53,2.16,185.42,73.0,Orthodox,0.35,0.67,1.4,0.3,0.43,0.39,155,1986,16,5,0,0,32.0,22.0
