card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC 261: Usman vs. Masvidal 2,Rose Namajunas,63%,11,0,0,Zhang Weili,50%,10,0,0,April 24 2021,"Jacksonville, Florida, USA",5,1,Women's Strawweight,Rose Namajunas,KO/TKO
UFC 261: Usman vs. Masvidal 2,Kamaru Usman,52%,40,2,2,Jorge Masvidal,59%,52,0,0,April 24 2021,"Jacksonville, Florida, USA",5,2,Welterweight,Kamaru Usman,KO/TKO
UFC Fight Night: Dern vs. Rodriguez,Alexandr Romanov,71%,78,7,5,Jared Vanderaa,56%,23,0,0,October 09 2021,"Las Vegas, Nevada, USA",3,2,Heavyweight,Alexandr Romanov,KO/TKO
UFC Fight Night: Dern vs. Rodriguez,Randy Brown,48%,235,1,0,Jared Gooden,51%,156,0,0,October 09 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Randy Brown,U-DEC
UFC Fight Night: Dern vs. Rodriguez,Marina Rodriguez,28%,174,8,1,Mackenzie Dern,51%,279,0,0,October 09 2021,"Las Vegas, Nevada, USA",5,5,Women's Strawweight,Marina Rodriguez,U-DEC
UFC Fight Night: Dern vs. Rodriguez,Loopy Godinez,84%,13,6,5,Silvana Gomez Juarez,23%,13,0,0,October 09 2021,"Las Vegas, Nevada, USA",3,1,Women's Strawweight,Loopy Godinez,SUB
UFC Fight Night: Dern vs. Rodriguez,Mariya Agapova,38%,159,0,0,Sabina Mazo,56%,164,0,0,October 09 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Mariya Agapova,SUB
UFC Fight Night: Reyes vs. Prochazka,Andreas Michailidis,53%,137,1,1,KB Bhullar,53%,131,0,0,May 01 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Andreas Michailidis,U-DEC
UFC Fight Night: Reyes vs. Prochazka,TJ Brown,47%,128,1,1,Kai Kamaka,38%,211,4,2,May 01 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,TJ Brown,S-DEC
UFC Fight Night: Reyes vs. Prochazka,Felipe Colares,55%,211,5,2,Luke Sanders,59%,131,10,2,May 01 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Felipe Colares,U-DEC
UFC Fight Night: Dern vs. Rodriguez,Damon Jackson,39%,87,3,2,Charles Rosa,47%,87,12,6,October 09 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Damon Jackson,U-DEC
UFC Fight Night: Reyes vs. Prochazka,Loma Lookboonmee,67%,124,8,4,Sam Hughes,67%,73,2,0,May 01 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Loma Lookboonmee,U-DEC
UFC Fight Night: Reyes vs. Prochazka,Luana Pinheiro,45%,40,0,0,Randa Markos,54%,53,6,5,May 01 2021,"Las Vegas, Nevada, USA",3,1,Women's Strawweight,Luana Pinheiro,DQ
UFC Fight Night: Reyes vs. Prochazka,Luana Carolina,59%,57,4,1,Poliana Botelho,54%,46,0,0,May 01 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Luana Carolina,S-DEC
UFC Fight Night: Reyes vs. Prochazka,Sean Strickland,46%,182,0,0,Krzysztof Jotko,18%,196,1,0,May 01 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Sean Strickland,U-DEC
UFC Fight Night: Reyes vs. Prochazka,Merab Dvalishvili,36%,192,11,5,Cody Stamann,35%,134,4,1,May 01 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Merab Dvalishvili,U-DEC
UFC Fight Night: Reyes vs. Prochazka,Ion Cutelaba,46%,152,19,9,Dustin Jacoby,56%,148,3,1,May 01 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Ion Cutelaba,S-DEC
UFC Fight Night: Reyes vs. Prochazka,Jiri Prochazka,58%,108,1,1,Dominick Reyes,56%,136,1,1,May 01 2021,"Las Vegas, Nevada, USA",5,2,Light Heavyweight,Jiri Prochazka,KO/TKO
UFC Fight Night: Whittaker vs. Gastelum,Tony Gravely,52%,75,6,4,Anthony Birchak,40%,45,1,0,April 17 2021,"Las Vegas, Nevada, USA",3,2,Bantamweight,Tony Gravely,KO/TKO
UFC Fight Night: Whittaker vs. Gastelum,Jessica Penne,35%,87,7,1,Loopy Godinez,54%,74,9,3,April 17 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Jessica Penne,S-DEC
UFC Fight Night: Reyes vs. Prochazka,Giga Chikadze,66%,18,0,0,Cub Swanson,66%,6,0,0,May 01 2021,"Las Vegas, Nevada, USA",3,1,Featherweight,Giga Chikadze,KO/TKO
UFC Fight Night: Whittaker vs. Gastelum,Luis Pena,46%,195,0,0,Alexander Munoz,47%,169,9,4,April 17 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Luis Pena,S-DEC
UFC Fight Night: Whittaker vs. Gastelum,Gerald Meerschaert,46%,13,1,1,Bartosz Fabinski,80%,10,0,0,April 17 2021,"Las Vegas, Nevada, USA",3,1,Middleweight,Gerald Meerschaert,SUB
UFC Fight Night: Whittaker vs. Gastelum,Alexandr Romanov,60%,53,4,2,Juan Espino,54%,22,5,4,April 17 2021,"Las Vegas, Nevada, USA",3,3,Heavyweight,Alexandr Romanov,S-DEC
UFC Fight Night: Whittaker vs. Gastelum,Jacob Malkoun,44%,47,0,0,Abdul Razak Alhassan,49%,55,24,8,April 17 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Jacob Malkoun,U-DEC
UFC Fight Night: Whittaker vs. Gastelum,Austin Hubbard,58%,115,1,1,Dakota Bush,39%,104,6,1,April 17 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Austin Hubbard,U-DEC
UFC Fight Night: Whittaker vs. Gastelum,Tracy Cortez,58%,112,5,3,Justine Kish,46%,119,1,0,April 17 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Tracy Cortez,S-DEC
UFC Fight Night: Whittaker vs. Gastelum,Andrei Arlovski,47%,222,0,0,Chase Sherman,45%,192,0,0,April 17 2021,"Las Vegas, Nevada, USA",3,3,Heavyweight,Andrei Arlovski,U-DEC
UFC Fight Night: Whittaker vs. Gastelum,Robert Whittaker,52%,284,7,4,Kelvin Gastelum,29%,209,5,1,April 17 2021,"Las Vegas, Nevada, USA",5,5,Middleweight,Robert Whittaker,U-DEC
UFC 260: Miocic vs. Ngannou,Omar Morales,43%,105,5,1,Shane Young,47%,144,2,2,March 27 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Omar Morales,U-DEC
UFC 260: Miocic vs. Ngannou,Abubakar Nurmagomedov,31%,136,0,0,Jared Gooden,50%,120,5,1,March 27 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Abubakar Nurmagomedov,U-DEC
UFC 260: Miocic vs. Ngannou,Michal Oleksiejczuk,34%,167,1,0,Modestas Bukauskas,45%,122,2,0,March 27 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Michal Oleksiejczuk,S-DEC
UFC 260: Miocic vs. Ngannou,Alonzo Menifield,100%,3,1,1,Fabio Cherant,0%,1,0,0,March 27 2021,"Las Vegas, Nevada, USA",3,1,Light Heavyweight,Alonzo Menifield,SUB
UFC 260: Miocic vs. Ngannou,Marc-Andre Barriault,51%,275,1,0,Abu Azaitar,49%,219,3,0,March 27 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Marc-Andre Barriault,KO/TKO
UFC 260: Miocic vs. Ngannou,Jamie Mullarkey,46%,13,0,0,Khama Worthy,50%,10,0,0,March 27 2021,"Las Vegas, Nevada, USA",3,1,Lightweight,Jamie Mullarkey,KO/TKO
UFC 260: Miocic vs. Ngannou,Sean O'Malley,57%,149,0,0,Thomas Almeida,35%,71,2,1,March 27 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Sean O'Malley,KO/TKO
UFC 260: Miocic vs. Ngannou,Vicente Luque,45%,40,1,0,Tyron Woodley,75%,33,0,0,March 27 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Vicente Luque,SUB
UFC 260: Miocic vs. Ngannou,Francis Ngannou,92%,13,1,0,Stipe Miocic,64%,56,2,1,March 27 2021,"Las Vegas, Nevada, USA",5,2,Heavyweight,Francis Ngannou,KO/TKO
UFC Fight Night: Edwards vs. Muhammad,Eryk Anders,68%,63,7,3,Darren Stewart,35%,42,0,0,March 13 2021,"Las Vegas, Nevada, USA",3,1,Middleweight,Eryk Anders,CNC
UFC Fight Night: Edwards vs. Muhammad,Angela Hill,57%,135,3,1,Ashley Yoder,29%,116,6,2,March 13 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Angela Hill,U-DEC
UFC 260: Miocic vs. Ngannou,Miranda Maverick,39%,68,4,2,Gillian Robertson,47%,150,4,3,March 27 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Miranda Maverick,U-DEC
UFC Fight Night: Edwards vs. Muhammad,Matheus Nicolau,40%,150,0,0,Manel Kape,53%,102,9,2,March 13 2021,"Las Vegas, Nevada, USA",3,3,Flyweight,Matheus Nicolau,S-DEC
UFC Fight Night: Edwards vs. Muhammad,Dan Ige,25%,4,0,0,Gavin Tucker,100%,1,0,0,March 13 2021,"Las Vegas, Nevada, USA",3,1,Featherweight,Dan Ige,KO/TKO
UFC Fight Night: Edwards vs. Muhammad,Ryan Spann,27%,18,0,0,Misha Cirkunov,55%,29,0,0,March 13 2021,"Las Vegas, Nevada, USA",3,1,Light Heavyweight,Ryan Spann,KO/TKO
UFC Fight Night: Edwards vs. Muhammad,Davey Grant,40%,71,0,0,Jonathan Martinez,43%,110,1,0,March 13 2021,"Las Vegas, Nevada, USA",3,2,Bantamweight,Davey Grant,KO/TKO
UFC Fight Night: Vettori vs. Holland,Impa Kasanganay,44%,29,6,2,Sasha Palatnikov,54%,24,0,0,April 10 2021,"Las Vegas, Nevada, USA",3,2,Welterweight,Impa Kasanganay,SUB
UFC Fight Night: Vettori vs. Holland,Da-Un Jung,60%,46,9,8,William Knight,58%,29,3,0,April 10 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Da-Un Jung,U-DEC
UFC Fight Night: Edwards vs. Muhammad,Leon Edwards,48%,39,1,0,Belal Muhammad,30%,26,0,0,March 13 2021,"Las Vegas, Nevada, USA",5,2,Welterweight,Leon Edwards,CNC
UFC Fight Night: Vettori vs. Holland,Joe Solecki,32%,34,0,0,Jim Miller,45%,42,4,1,April 10 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Joe Solecki,U-DEC
UFC Fight Night: Vettori vs. Holland,Jack Shore,56%,80,6,0,Hunter Azure,63%,57,13,6,April 10 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Jack Shore,S-DEC
UFC Fight Night: Vettori vs. Holland,Mateusz Gamrot,20%,48,1,0,Scott Holtzman,61%,63,5,2,April 10 2021,"Las Vegas, Nevada, USA",3,2,Lightweight,Mateusz Gamrot,KO/TKO
UFC Fight Night: Vettori vs. Holland,Luis Saldana,40%,88,0,0,Jordan Griffin,47%,69,7,4,April 10 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Luis Saldana,U-DEC
UFC Fight Night: Vettori vs. Holland,Daniel Rodriguez,46%,132,4,2,Mike Perry,54%,235,1,0,April 10 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Daniel Rodriguez,U-DEC
UFC Fight Night: Vettori vs. Holland,Jarjis Danho,18%,11,0,0,Yorgan De Castro,83%,12,1,0,April 10 2021,"Las Vegas, Nevada, USA",3,1,Heavyweight,Jarjis Danho,KO/TKO
UFC Fight Night: Vettori vs. Holland,John Makdessi,53%,232,0,0,Ignacio Bahamondes,35%,312,4,0,April 10 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,John Makdessi,S-DEC
UFC Fight Night: Vettori vs. Holland,Julian Marquez,37%,78,0,0,Sam Alvey,61%,100,0,0,April 10 2021,"Las Vegas, Nevada, USA",3,2,Middleweight,Julian Marquez,SUB
UFC Fight Night: Vettori vs. Holland,Mackenzie Dern,57%,7,0,0,Nina Nunes,54%,22,2,1,April 10 2021,"Las Vegas, Nevada, USA",3,1,Women's Strawweight,Mackenzie Dern,SUB
UFC Fight Night: Vettori vs. Holland,Marvin Vettori,37%,64,17,11,Kevin Holland,35%,103,0,0,April 10 2021,"Las Vegas, Nevada, USA",5,5,Middleweight,Marvin Vettori,U-DEC
UFC Fight Night: Vettori vs. Holland,Arnold Allen,34%,61,5,2,Sodiq Yusuff,41%,113,1,0,April 10 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Arnold Allen,U-DEC
UFC Fight Night: Rozenstruik vs. Gane,Dustin Jacoby,41%,137,0,0,Maxim Grishin,42%,156,2,0,February 27 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Dustin Jacoby,U-DEC
UFC Fight Night: Rozenstruik vs. Gane,Ronnie Lawrence,32%,46,2,0,Vince Cachero,63%,121,9,8,February 27 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Ronnie Lawrence,KO/TKO
UFC Fight Night: Rozenstruik vs. Gane,Alexis Davis,59%,83,3,3,Sabina Mazo,38%,165,1,0,February 27 2021,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Alexis Davis,U-DEC
UFC Fight Night: Rozenstruik vs. Gane,Alex Caceres,70%,68,1,1,Kevin Croom,31%,51,16,1,February 27 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Alex Caceres,U-DEC
UFC Fight Night: Rozenstruik vs. Gane,Montana De La Rosa,41%,72,12,3,Mayra Bueno Silva,65%,80,0,0,February 27 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Montana De La Rosa,M-DEC
UFC Fight Night: Rozenstruik vs. Gane,Thiago Moises,24%,205,0,0,Alexander Hernandez,28%,183,1,0,February 27 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Thiago Moises,U-DEC
UFC Fight Night: Rozenstruik vs. Gane,Magomed Ankalaev,39%,120,6,1,Nikita Krylov,46%,92,9,3,February 27 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Magomed Ankalaev,U-DEC
UFC Fight Night: Brunson vs. Holland,Trevin Giles,47%,57,2,1,Roman Dolidze,47%,67,3,1,March 20 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Trevin Giles,U-DEC
UFC Fight Night: Rozenstruik vs. Gane,Ciryl Gane,40%,104,0,0,Jairzinho Rozenstruik,57%,176,14,2,February 27 2021,"Las Vegas, Nevada, USA",5,5,Heavyweight,Ciryl Gane,U-DEC
UFC Fight Night: Brunson vs. Holland,Montel Jackson,57%,26,0,0,Jesse Strader,56%,25,0,0,March 20 2021,"Las Vegas, Nevada, USA",3,1,Bantamweight,Montel Jackson,KO/TKO
UFC Fight Night: Brunson vs. Holland,Adrian Yanez,39%,103,0,0,Gustavo Lopez,45%,51,1,0,March 20 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Adrian Yanez,KO/TKO
UFC Fight Night: Brunson vs. Holland,Grant Dawson,44%,67,2,1,Leonardo Santos,54%,84,13,1,March 20 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Grant Dawson,KO/TKO
UFC Fight Night: Rozenstruik vs. Gane,Pedro Munhoz,48%,194,0,0,Jimmie Rivera,33%,193,5,1,February 27 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Pedro Munhoz,U-DEC
UFC Fight Night: Brunson vs. Holland,Tai Tuivasa,77%,18,0,0,Harry Hunsucker,33%,6,0,0,March 20 2021,"Las Vegas, Nevada, USA",3,1,Heavyweight,Tai Tuivasa,KO/TKO
UFC Fight Night: Brunson vs. Holland,Montserrat Conejo,47%,65,0,0,Cheyanne Vlismas,36%,41,5,4,March 20 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Montserrat Conejo,U-DEC
UFC Fight Night: Brunson vs. Holland,Max Griffin,58%,24,0,0,Song Kenan,60%,28,1,0,March 20 2021,"Las Vegas, Nevada, USA",3,1,Welterweight,Max Griffin,KO/TKO
UFC Fight Night: Brunson vs. Holland,Bruno Silva,60%,61,2,1,JP Buys,30%,56,1,0,March 20 2021,"Las Vegas, Nevada, USA",3,2,Flyweight,Bruno Silva,KO/TKO
UFC 259: Blachowicz vs. Adesanya,Tim Elliott,56%,44,7,4,Jordan Espinosa,52%,25,0,0,March 06 2021,"Las Vegas, Nevada, USA",3,3,Flyweight,Tim Elliott,U-DEC
UFC Fight Night: Brunson vs. Holland,Derek Brunson,46%,93,12,6,Kevin Holland,48%,74,1,1,March 20 2021,"Las Vegas, Nevada, USA",5,5,Middleweight,Derek Brunson,U-DEC
UFC 259: Blachowicz vs. Adesanya,Kyler Phillips,41%,161,0,0,Song Yadong,41%,142,5,3,March 06 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Kyler Phillips,U-DEC
UFC Fight Night: Brunson vs. Holland,Macy Chiasson,47%,63,4,2,Marion Reneau,36%,138,1,1,March 20 2021,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Macy Chiasson,U-DEC
UFC 259: Blachowicz vs. Adesanya,Askar Askarov,40%,114,0,0,Joseph Benavidez,65%,88,6,5,March 06 2021,"Las Vegas, Nevada, USA",3,3,Flyweight,Askar Askarov,U-DEC
UFC 259: Blachowicz vs. Adesanya,Sean Brady,54%,68,1,1,Jake Matthews,25%,84,0,0,March 06 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Sean Brady,SUB
UFC 259: Blachowicz vs. Adesanya,Kennedy Nzechukwu,55%,148,1,0,Carlos Ulberg,64%,227,0,0,March 06 2021,"Las Vegas, Nevada, USA",3,2,Light Heavyweight,Kennedy Nzechukwu,KO/TKO
UFC 259: Blachowicz vs. Adesanya,Kai Kara-France,35%,17,1,1,Rogerio Bontorin,59%,22,0,0,March 06 2021,"Las Vegas, Nevada, USA",3,1,Flyweight,Kai Kara-France,KO/TKO
UFC 259: Blachowicz vs. Adesanya,Dominick Cruz,44%,202,9,2,Casey Kenney,38%,193,2,0,March 06 2021,"Las Vegas, Nevada, USA",3,3,Bantamweight,Dominick Cruz,S-DEC
UFC 259: Blachowicz vs. Adesanya,Aljamain Sterling,62%,137,7,7,Petr Yan,42%,230,17,1,March 06 2021,"Las Vegas, Nevada, USA",5,4,Bantamweight,Aljamain Sterling,DQ
UFC 259: Blachowicz vs. Adesanya,Islam Makhachev,60%,25,4,3,Drew Dober,50%,20,0,0,March 06 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Islam Makhachev,SUB
UFC Fight Night: Blaydes vs. Lewis,Julian Erosa,64%,14,0,0,Nate Landwehr,65%,23,0,0,February 20 2021,"Las Vegas, Nevada, USA",3,1,Featherweight,Julian Erosa,KO/TKO
UFC Fight Night: Blaydes vs. Lewis,Jared Gordon,62%,131,7,2,Danny Chavez,34%,113,1,1,February 20 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Jared Gordon,U-DEC
UFC 259: Blachowicz vs. Adesanya,Jan Blachowicz,55%,193,5,3,Israel Adesanya,48%,161,0,0,March 06 2021,"Las Vegas, Nevada, USA",5,5,Light Heavyweight,Jan Blachowicz,U-DEC
UFC Fight Night: Blaydes vs. Lewis,Casey O'Neill,57%,28,0,0,Shana Dobson,72%,68,6,4,February 20 2021,"Las Vegas, Nevada, USA",3,2,Women's Flyweight,Casey O'Neill,KO/TKO
UFC 259: Blachowicz vs. Adesanya,Aleksandar Rakic,50%,97,1,0,Thiago Santos,40%,89,2,0,March 06 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Aleksandar Rakic,U-DEC
UFC Fight Night: Blaydes vs. Lewis,Tom Aspinall,36%,55,0,0,Andrei Arlovski,61%,60,1,1,February 20 2021,"Las Vegas, Nevada, USA",3,2,Heavyweight,Tom Aspinall,SUB
UFC Fight Night: Blaydes vs. Lewis,Phil Hawes,57%,54,7,4,Nassourdine Imavov,61%,93,0,0,February 20 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Phil Hawes,M-DEC
UFC Fight Night: Blaydes vs. Lewis,Darrick Minner,60%,25,1,0,Charles Rosa,75%,60,5,4,February 20 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Darrick Minner,U-DEC
UFC Fight Night: Blaydes vs. Lewis,John Castaneda,25%,66,1,1,Eddie Wineland,73%,57,0,0,February 20 2021,"Las Vegas, Nevada, USA",3,1,Bantamweight,John Castaneda,KO/TKO
UFC 258: Usman vs. Burns,Gabe Green,46%,152,2,2,Phil Rowe,48%,86,6,2,February 13 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Gabe Green,U-DEC
UFC Fight Night: Blaydes vs. Lewis,Chris Daukaus,50%,10,1,0,Aleksei Oleinik,60%,56,0,0,February 20 2021,"Las Vegas, Nevada, USA",3,1,Heavyweight,Chris Daukaus,KO/TKO
UFC Fight Night: Blaydes vs. Lewis,Yana Kunitskaya,43%,16,8,3,Ketlen Vieira,78%,60,0,0,February 20 2021,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Yana Kunitskaya,U-DEC
UFC 258: Usman vs. Burns,Chris Gutierrez,49%,120,1,1,Andre Ewell,54%,126,1,1,February 13 2021,"Las Vegas, Nevada, USA",3,3,Catch Weight,Chris Gutierrez,U-DEC
UFC 258: Usman vs. Burns,Polyana Viana,25%,16,0,0,Mallory Martin,71%,7,1,1,February 13 2021,"Las Vegas, Nevada, USA",3,1,Women's Strawweight,Polyana Viana,SUB
UFC Fight Night: Blaydes vs. Lewis,Derrick Lewis,53%,52,3,0,Curtis Blaydes,30%,23,0,0,February 20 2021,"Las Vegas, Nevada, USA",5,2,Heavyweight,Derrick Lewis,KO/TKO
UFC 258: Usman vs. Burns,Julian Marquez,49%,65,11,5,Maki Pitolo,41%,100,1,0,February 13 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Julian Marquez,SUB
UFC 258: Usman vs. Burns,Ricky Simon,45%,98,9,6,Brian Kelleher,26%,73,0,0,February 13 2021,"Las Vegas, Nevada, USA",3,3,Featherweight,Ricky Simon,U-DEC
UFC 258: Usman vs. Burns,Belal Muhammad,48%,264,10,1,Dhiego Lima,33%,203,1,0,February 13 2021,"Las Vegas, Nevada, USA",3,3,Welterweight,Belal Muhammad,U-DEC
UFC 258: Usman vs. Burns,Kelvin Gastelum,45%,84,14,6,Ian Heinisch,40%,67,6,1,February 13 2021,"Las Vegas, Nevada, USA",3,3,Middleweight,Kelvin Gastelum,U-DEC
UFC 258: Usman vs. Burns,Alexa Grasso,26%,152,5,3,Maycee Barber,46%,81,0,0,February 13 2021,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,Alexa Grasso,U-DEC
UFC 258: Usman vs. Burns,Anthony Hernandez,34%,26,10,4,Rodolfo Vieira,64%,50,0,0,February 13 2021,"Las Vegas, Nevada, USA",3,2,Middleweight,Anthony Hernandez,SUB
UFC 258: Usman vs. Burns,Kamaru Usman,61%,136,0,0,Gilbert Burns,41%,108,3,0,February 13 2021,"Las Vegas, Nevada, USA",5,3,Welterweight,Kamaru Usman,KO/TKO
UFC Fight Night: Vieira vs. Tate,Luana Pinheiro,37%,159,3,2,Sam Hughes,40%,130,0,0,November 20 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Luana Pinheiro,U-DEC
UFC 268: Usman vs. Covington 2,Ode Osbourne,56%,165,0,0,CJ Vergara,40%,194,7,1,November 06 2021,"New York City, New York, USA",3,3,Flyweight,Ode Osbourne,U-DEC
UFC Fight Night: Font vs. Aldo,William Knight,57%,77,2,0,Alonzo Menifield,49%,111,4,1,December 04 2021,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,William Knight,U-DEC
UFC 269: Oliveira vs. Poirier,Gillian Robertson,74%,43,4,1,Priscila Cachoeira,55%,36,0,0,December 11 2021,"Las Vegas, Nevada, USA",3,1,Women's Flyweight,Gillian Robertson,SUB
UFC Fight Night: Font vs. Aldo,Claudio Puelles,63%,68,8,1,Chris Gruetzemacher,69%,55,1,1,December 04 2021,"Las Vegas, Nevada, USA",3,3,Lightweight,Claudio Puelles,SUB
UFC Fight Night: Walker vs. Hill,Mario Bautista,57%,125,6,4,Jay Perrin,39%,107,5,2,February 19 2022,"Las Vegas, Nevada, USA",3,3,Bantamweight,Mario Bautista,U-DEC
UFC Fight Night: Font vs. Aldo,Vince Morales,71%,32,0,0,Louis Smolka,55%,49,0,0,December 04 2021,"Las Vegas, Nevada, USA",3,1,Bantamweight,Vince Morales,KO/TKO
UFC Fight Night: Font vs. Aldo,Cheyanne Vlismas,49%,271,0,0,Mallory Martin,38%,210,5,0,December 04 2021,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Cheyanne Vlismas,U-DEC
UFC 271: Adesanya vs. Whittaker 2,Maxim Grishin,30%,68,9,3,William Knight,77%,89,0,0,February 12 2022,"Houston, Texas, USA",3,3,Heavyweight,Maxim Grishin,U-DEC
UFC Fight Night: Lewis vs. Daukaus,Jordan Leavitt,45%,20,6,1,Matt Sayles,38%,34,1,1,December 18 2021,"Las Vegas, Nevada, USA",3,2,Lightweight,Jordan Leavitt,SUB
UFC Fight Night: Volkov vs. Aspinall,Paul Craig,76%,25,1,1,Nikita Krylov,66%,3,1,1,March 19 2022,"London, England, United Kingdom",3,1,Light Heavyweight,Paul Craig,SUB
UFC 271: Adesanya vs. Whittaker 2,Jeremiah Wells,78%,19,5,1,Blood Diamond,33%,3,0,0,February 12 2022,"Houston, Texas, USA",3,1,Welterweight,Jeremiah Wells,SUB
UFC Fight Night: Santos vs. Ankalaev,Azamat Murzakanov,43%,98,0,0,Tafon Nchukwi,40%,69,5,1,March 12 2022,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Azamat Murzakanov,KO/TKO
UFC 272: Covington vs. Masvidal,Dustin Jacoby,36%,243,2,1,Michal Oleksiejczuk,39%,173,2,1,March 05 2022,"Las Vegas, Nevada, USA",3,3,Light Heavyweight,Dustin Jacoby,U-DEC
UFC Fight Night: Volkov vs. Aspinall,Muhammad Mokaev,40%,5,0,0,Cody Durden,20%,5,1,1,March 19 2022,"London, England, United Kingdom",3,1,Flyweight,Muhammad Mokaev,SUB
UFC Fight Night: Volkov vs. Aspinall,Jack Shore,65%,107,7,3,Timur Valiev,48%,150,3,2,March 19 2022,"London, England, United Kingdom",3,3,Bantamweight,Jack Shore,U-DEC
UFC Fight Night: Volkov vs. Aspinall,Elise Reed,37%,160,7,3,Cory McKenna,54%,140,0,0,March 19 2022,"London, England, United Kingdom",3,3,Women's Strawweight,Elise Reed,S-DEC
UFC Fight Night: Luque vs. Muhammad,Sam Hughes,39%,228,0,0,Istela Nunes,41%,182,5,2,April 16 2022,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Sam Hughes,M-DEC
UFC Fight Night: Luque vs. Muhammad,Alatengheili,52%,17,0,0,Kevin Croom,16%,12,0,0,April 16 2022,"Las Vegas, Nevada, USA",3,1,Bantamweight,Alatengheili,KO/TKO
UFC Fight Night: Luque vs. Muhammad,Pannie Kianzad,44%,88,3,0,Lina Lansberg,48%,160,1,1,April 16 2022,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Pannie Kianzad,U-DEC
UFC Fight Night: Luque vs. Muhammad,Jordan Leavitt,65%,105,3,0,Trey Ogden,45%,90,4,1,April 16 2022,"Las Vegas, Nevada, USA",3,3,Lightweight,Jordan Leavitt,S-DEC
UFC Fight Night: Luque vs. Muhammad,Devin Clark,72%,47,5,2,William Knight,51%,41,1,1,April 16 2022,"Las Vegas, Nevada, USA",3,3,Heavyweight,Devin Clark,KO/TKO
