card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC on FUEL TV: Barao vs McDonald,Cub Swanson,46%,126,2,2,Dustin Poirier,41%,140,9,2,February 16 2013,"London, England, United Kingdom",3,3,Featherweight,Cub Swanson,U-DEC
UFC on FUEL TV: Barao vs McDonald,Renan Barao,32%,112,10,4,Michael McDonald,28%,92,1,0,February 16 2013,"London, England, United Kingdom",5,4,Bantamweight,Renan Barao,SUB
UFC on FUEL TV: Barao vs McDonald,James Te Huna,62%,79,5,2,Ryan Jimmo,65%,52,2,0,February 16 2013,"London, England, United Kingdom",3,3,Light Heavyweight,James Te Huna,U-DEC
UFC 155: Dos Santos vs Velasquez II,Max Holloway,24%,359,4,2,Leonard Garcia,44%,269,0,0,December 29 2012,"Las Vegas, Nevada, USA",3,3,Featherweight,Max Holloway,S-DEC
UFC on FUEL TV: Barao vs McDonald,Jimi Manuwa,50%,36,3,3,Cyrille Diabate,64%,14,0,0,February 16 2013,"London, England, United Kingdom",3,1,Light Heavyweight,Jimi Manuwa,KO/TKO
UFC 155: Dos Santos vs Velasquez II,Jamie Varner,50%,112,1,0,Melvin Guillard,32%,97,10,7,December 29 2012,"Las Vegas, Nevada, USA",3,3,Lightweight,Jamie Varner,S-DEC
UFC 155: Dos Santos vs Velasquez II,Todd Duffee,53%,13,1,1,Philip De Fries,64%,31,0,0,December 29 2012,"Las Vegas, Nevada, USA",3,1,Heavyweight,Todd Duffee,KO/TKO
UFC 155: Dos Santos vs Velasquez II,Erik Perez,68%,58,0,0,Byron Bloodworth,72%,11,0,0,December 29 2012,"Las Vegas, Nevada, USA",3,1,Bantamweight,Erik Perez,KO/TKO
UFC 155: Dos Santos vs Velasquez II,Myles Jury,14%,41,0,0,Michael Johnson,46%,121,6,3,December 29 2012,"Las Vegas, Nevada, USA",3,3,Lightweight,Myles Jury,U-DEC
UFC 155: Dos Santos vs Velasquez II,Eddie Wineland,31%,212,0,0,Brad Pickett,30%,294,2,0,December 29 2012,"Las Vegas, Nevada, USA",3,3,Bantamweight,Eddie Wineland,S-DEC
